loop,addresses_generated,predictions_submitted,correct_predictions,incorrect_predictions,missing_predictions,extra_predictions,accuracy,coverage,cache_hits,cache_misses,predictor_runtime,simulation_runtime,workload_runtime,memory_bytes,energy
177,1024,1024,294,730,0,0,28.710938,100.000000,141,883,0.013792,0.000290,0.005340,8192,4658.400000
178,1024,1024,288,736,0,0,28.125000,100.000000,158,866,0.012043,0.000127,0.005485,8192,4590.400000
179,1024,1024,291,733,0,0,28.417969,100.000000,176,848,0.011451,0.000117,0.005548,8192,4518.400000
180,1024,1024,284,740,0,0,27.734375,100.000000,141,883,0.013184,0.000297,0.004859,8192,4658.400000
181,1024,1024,288,736,0,0,28.125000,100.000000,155,869,0.012219,0.000127,0.005191,8192,4602.400000
182,1024,1024,286,738,0,0,27.929688,100.000000,144,880,0.011103,0.000316,0.004441,8192,4646.400000
183,1024,1024,294,730,0,0,28.710938,100.000000,152,872,0.010979,0.000128,0.005851,8192,4614.400000
184,1024,1024,280,744,0,0,27.343750,100.000000,146,878,0.011974,0.000122,0.003874,8192,4638.400000
185,1024,1024,285,739,0,0,27.832031,100.000000,157,867,0.012228,0.000119,0.005573,8192,4594.400000
186,1024,1024,292,732,0,0,28.515625,100.000000,154,870,0.011541,0.000125,0.003976,8192,4606.400000
187,1024,1024,298,726,0,0,29.101562,100.000000,144,880,0.010859,0.000127,0.005153,8192,4646.400000
188,1024,1024,289,735,0,0,28.222656,100.000000,140,884,0.012299,0.000187,0.004306,8192,4662.400000
189,1024,1024,285,739,0,0,27.832031,100.000000,163,861,0.011236,0.000208,0.005452,8192,4570.400000
190,1024,1024,288,736,0,0,28.125000,100.000000,155,869,0.011404,0.000126,0.004989,8192,4602.400000
191,1024,1024,288,736,0,0,28.125000,100.000000,146,878,0.012016,0.000121,0.005296,8192,4638.400000
192,1024,1024,293,731,0,0,28.613281,100.000000,147,877,0.011564,0.000120,0.003667,8192,4634.400000
193,1024,1024,288,736,0,0,28.125000,100.000000,145,879,0.011936,0.000129,0.005648,8192,4642.400000
194,1024,1024,293,731,0,0,28.613281,100.000000,161,863,0.011519,0.000280,0.003611,8192,4578.400000
195,1024,1024,294,730,0,0,28.710938,100.000000,166,858,0.012095,0.000145,0.005403,8192,4558.400000
196,1024,1024,297,727,0,0,29.003906,100.000000,154,870,0.012204,0.000339,0.004938,8192,4606.400000
197,1024,1024,286,738,0,0,27.929688,100.000000,162,862,0.012725,0.000306,0.005462,8192,4574.400000
198,1024,1024,282,742,0,0,27.539062,100.000000,156,868,0.012467,0.000152,0.004506,8192,4598.400000
199,1024,1024,287,737,0,0,28.027344,100.000000,129,895,0.010870,0.000148,0.005311,8192,4706.400000
200,1024,1024,292,732,0,0,28.515625,100.000000,154,870,0.012528,0.000160,0.005222,8192,4606.400000
201,1024,1024,298,726,0,0,29.101562,100.000000,155,869,0.011100,0.000146,0.005200,8192,4602.400000
202,1024,1024,291,733,0,0,28.417969,100.000000,156,868,0.013026,0.000143,0.005222,8192,4598.400000
203,1024,1024,295,729,0,0,28.808594,100.000000,137,887,0.013272,0.000161,0.005540,8192,4674.400000
204,1024,1024,296,728,0,0,28.906250,100.000000,152,872,0.012606,0.000154,0.005676,8192,4614.400000
205,1024,1024,294,730,0,0,28.710938,100.000000,149,875,0.011148,0.000145,0.004460,8192,4626.400000
206,1024,1024,287,737,0,0,28.027344,100.000000,149,875,0.011231,0.000147,0.004612,8192,4626.400000
207,1024,1024,286,738,0,0,27.929688,100.000000,145,879,0.013008,0.000150,0.004622,8192,4642.400000
208,1024,1024,292,732,0,0,28.515625,100.000000,146,878,0.010691,0.000222,0.005168,8192,4638.400000
209,1024,1024,292,732,0,0,28.515625,100.000000,157,867,0.010385,0.000125,0.005763,8192,4594.400000
210,1024,1024,284,740,0,0,27.734375,100.000000,157,867,0.011282,0.000122,0.004677,8192,4594.400000
211,1024,1024,289,735,0,0,28.222656,100.000000,161,863,0.010991,0.000121,0.004080,8192,4578.400000
212,1024,1024,280,744,0,0,27.343750,100.000000,168,856,0.011473,0.000250,0.004822,8192,4550.400000
213,1024,1024,287,737,0,0,28.027344,100.000000,152,872,0.011129,0.000128,0.004227,8192,4614.400000
214,1024,1024,283,741,0,0,27.636719,100.000000,142,882,0.011047,0.000271,0.004665,8192,4654.400000
215,1024,1024,286,738,0,0,27.929688,100.000000,154,870,0.011215,0.000262,0.005393,8192,4606.400000
216,1024,1024,285,739,0,0,27.832031,100.000000,173,851,0.011691,0.000129,0.005019,8192,4530.400000
217,1024,1024,294,730,0,0,28.710938,100.000000,159,865,0.011476,0.000122,0.005011,8192,4586.400000
218,1024,1024,293,731,0,0,28.613281,100.000000,152,872,0.013009,0.000119,0.004234,8192,4614.400000
219,1024,1024,279,745,0,0,27.246094,100.000000,152,872,0.012514,0.000122,0.004236,8192,4614.400000
220,1024,1024,291,733,0,0,28.417969,100.000000,160,864,0.012024,0.000268,0.005362,8192,4582.400000
221,1024,1024,297,727,0,0,29.003906,100.000000,155,869,0.011448,0.000118,0.003862,8192,4602.400000
222,1024,1024,282,742,0,0,27.539062,100.000000,143,881,0.010650,0.000144,0.004869,8192,4650.400000
223,1024,1024,280,744,0,0,27.343750,100.000000,152,872,0.012171,0.000128,0.004815,8192,4614.400000
224,1024,1024,284,740,0,0,27.734375,100.000000,154,870,0.013202,0.000160,0.005862,8192,4606.400000
225,1024,1024,294,730,0,0,28.710938,100.000000,154,870,0.010999,0.000137,0.005545,8192,4606.400000
226,1024,1024,296,728,0,0,28.906250,100.000000,151,873,0.012972,0.000145,0.005671,8192,4618.400000
227,1024,1024,290,734,0,0,28.320312,100.000000,119,905,0.012214,0.000157,0.005585,8192,4746.400000
228,1024,1024,281,743,0,0,27.441406,100.000000,150,874,0.011435,0.000141,0.006052,8192,4622.400000
229,1024,1024,296,728,0,0,28.906250,100.000000,150,874,0.011557,0.000124,0.004346,8192,4622.400000
230,1024,1024,280,744,0,0,27.343750,100.000000,165,859,0.012769,0.000191,0.004516,8192,4562.400000
231,1024,1024,292,732,0,0,28.515625,100.000000,138,886,0.013806,0.000157,0.005353,8192,4670.400000
232,1024,1024,276,748,0,0,26.953125,100.000000,174,850,0.011581,0.000248,0.005352,8192,4526.400000
233,1024,1024,289,735,0,0,28.222656,100.000000,150,874,0.010974,0.000136,0.004666,8192,4622.400000
234,1024,1024,284,740,0,0,27.734375,100.000000,144,880,0.011383,0.000142,0.005297,8192,4646.400000
235,1024,1024,295,729,0,0,28.808594,100.000000,168,856,0.012898,0.000140,0.005320,8192,4550.400000
236,1024,1024,281,743,0,0,27.441406,100.000000,159,865,0.011694,0.000122,0.005095,8192,4586.400000
237,1024,1024,283,741,0,0,27.636719,100.000000,130,894,0.012235,0.000124,0.005373,8192,4702.400000
238,1024,1024,287,737,0,0,28.027344,100.000000,146,878,0.012968,0.000123,0.005815,8192,4638.400000
239,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.013587,0.000132,0.005655,8192,4602.400000
240,1024,1024,286,738,0,0,27.929688,100.000000,153,871,0.010895,0.000121,0.004925,8192,4610.400000
241,1024,1024,283,741,0,0,27.636719,100.000000,146,878,0.011478,0.000121,0.005668,8192,4638.400000
242,1024,1024,289,735,0,0,28.222656,100.000000,152,872,0.011247,0.000120,0.004051,8192,4614.400000
243,1024,1024,287,737,0,0,28.027344,100.000000,151,873,0.012406,0.000282,0.004789,8192,4618.400000
244,1024,1024,292,732,0,0,28.515625,100.000000,156,868,0.012050,0.000141,0.004798,8192,4598.400000
245,1024,1024,279,745,0,0,27.246094,100.000000,142,882,0.012314,0.000150,0.005259,8192,4654.400000
246,1024,1024,287,737,0,0,28.027344,100.000000,146,878,0.010573,0.000131,0.005507,8192,4638.400000
247,1024,1024,282,742,0,0,27.539062,100.000000,147,877,0.012696,0.000205,0.004770,8192,4634.400000
248,1024,1024,282,742,0,0,27.539062,100.000000,157,867,0.012010,0.000311,0.004569,8192,4594.400000
249,1024,1024,291,733,0,0,28.417969,100.000000,159,865,0.011454,0.000143,0.004795,8192,4586.400000
250,1024,1024,289,735,0,0,28.222656,100.000000,157,867,0.011830,0.000136,0.003745,8192,4594.400000
251,1024,1024,284,740,0,0,27.734375,100.000000,135,889,0.012280,0.000138,0.006711,8192,4682.400000
